Keynote,First Name,Last Name,ID,Filename,MIT association,Title,Bio
N,Panagiotis,Karampinis,N/A,PanagiotisKarampinis.png,N,"Managing Director, Endeavor Greece","Panagiotis holds a degree in Financial and Banking Management from the University of Piraeus. During his studies he worked in the International Fund of Investment Funds Group in Greece and was the Head of Corporate Partnerships at AIESEC in Greece, the largest student organization in the world. Additionally, he also is a co-founder of TEDxKalamata, a volunteer of the Red Cross Samaritan, and is a consultant to speculative and nonprofit organizations."
N,Panos,Dimitracopoulos,N/A,PanosDimitracopoulos.jpg,N,"CEO, Signal Maritime Services","Panos Dimitracopoulos is the CEO of Signal Maritime Services since 2020. Panos has extensive experience in the shipping industry and is passionate about leveraging technology to drive growth and improve commercial aspects of the industry. He joined Signal at its inception, in 2014, as Chief Commercial Officer. Prior to Signal, Panos held the position of Head of Chartering at Thenamaris which he joined in 2001. He has graduated from Oxford University with a MEng in Engineering Science."
N,Rob,Genieser,N/A,RobGenieser.jpg,N,"Managing Partner, ETF Partners","Rob is a Managing Partner at ETF Partners since early 2010. ETF is the leading fund in Europe backing technology entrepreneurs focused on delivering sustainability through innovation. Prior to joining ETF Partners, Rob was a Managing Partner at Vertex, one of the oldest and most prestigious investment firms out of Asia, where he led its European and North American investment activities for 8 years. Before that, Rob was a Managing Director of JP Morgan (and Hambrecht &amp; Quist), focusing on advising high-tech growth companies globally. Earlier in his career, Rob was a management consultant for Bain &amp; Co. in San Francisco, where he focused on the telecommunications industry. He holds an AB and MBA from Harvard University."
N,Sloane,Phillips,N/A,SloanePhillips.jpg,N,"VP of Data Operations, Iterative Health","Sloane Allebes Phillips is the VP of Data Operations at Iterative Health, a company using AI-technology in gastroenterology. She is a founding member of IH and has witnessed the company grow from a handful of students to a team of around 200 full-time employees. She has previously worked at Planned Parenthood, the Peace Corps, and the Women’s World Health Initiative. Sloane holds an MBA from the Massachusetts Institute of Technology, Sloan School of Management, and a B.S. in public health from Brigham Young University."
N,Snejina,Zacharia,N/A,Snejina Zacharia.jpg,N,Founder & CEO Insurify,"Snejina Zacharia is the Founder and CEO of Insurify, a one-stop-shop comparison platform for car, home, and life insurance that uses AI and NLP to streamline the insurance shopping process. She has over 20 years of experience building and growing multimillion-dollar businesses and has worked with several enterprise software and consumer internet companies. Snejina was previously part of Gartner where she established and grew three business lines across the U.S. and EMEA. She also holds an MBA from MIT’s Sloan School of Management."
N,Stamatis,Tsantanis,N/A,StamatisTsantanis.jpg,N,Chairman and Chief Executive Officer - Seanergy Maritime Holdings Corp. and United Maritime Corporation,"Stamatis Tsantanis is the Chairman and Chief Executive Officer of Seanergy Maritime Holdings Corp. (the “Company” or “Seanergy”) (NASDAQ: SHIP). He joined the Company in 2012 and led its significant growth to a worldrenowned pure-play Capesize company listed in the U.S., with cargo carrying capacity exceeding 3.0 million dwt. Stamatis is also the Founder, Chairman and Chief Executive Officer of United Maritime Corporation (NASDAQ: USEA), an independent diversified public shipping company that was initially established as a subsidiary of Seanergy. He has more than 24 years of experience in shipping and finance and previously held senior management positions in prominent private and public shipping companies and financial institutions. Stamatis is also a member of the board of directors of Breakwave Advisors LLC, the advisor of ETFMG which is the manager of the NYSE listed BDRY and BSEA. He holds a Master of Science (MSc) in Shipping Trade and Finance from Bayes Business School (formerly known as Cass Business School) of City University in London and a Bachelor of Science (BSc) in Shipping Economics from the University of Piraeus and he is also a fellow of the Institute of Chartered Shipbrokers."
N,Stelios,Papadopoulos,N/A,SteliosPapadopoulos.jpg,N,"Chairman, Biogen Inc.","Dr. Stelios Papadopoulos is the Chairman of Biogen's Board of Directors and a member of its Corporate Governance and Audit Committee. He is also the Chairman of the Board of Directors of Exelixis, Regulus Therapeutics, and Eucrates Biomedical Acquisition Corp. Dr. Papadopoulos has co-founded several biopharmaceutical companies, including Exelixis and Anadys Pharmaceuticals. He retired as Vice Chairman of Cowen & Co., a financial services company, in 2006, after focusing on the biotechnology and pharmaceutical sectors. He is also a co-founder and Chairman of Fondation Santé, a member of the Board of Visitors of Duke Medicine, and a member of the Global Advisory Board of the Duke Institute for Health Innovation."
N,Theodoros,Evgeniou,N/A,TheodorosEvgeniou.jpg,N,"INSEAD Professor, Co-founder Tremau","Theodoros Evgeniou is a professor at INSEAD and director of the INSEAD Executive Education program on Transforming your Business with AI. He received four degrees from MIT, including a Master and a PhD in Computer Science. He has been a member of the OECD Network of Experts on AI, an advisor for the BCG Henderson Institute, and a World Economic Forum Academic Partner for AI. Additionally, he is the co-founder of Tremau, a B2B SaaS company providing tech trust & safety solutions."
N,Timos,Sellis,N/A,TimosSellis.jpg,N,"Scientific Director, Archimedes Research Unit, Research Center ""Athena""","Dr. Timos Sellis is an experienced academic and researcher with a background in database systems and data management. He is currently the Director of the ""Archimedes"" Research Unit of the ""Athena"" Research Center, and has previously held positions at Facebook Researcher and the Swinburne University of Technology. He has also served as a professor at the University of Maryland and the National Technical University of Athens. Dr. Sellis is a fellow of both the IEEE and ACM, and has received numerous awards for his contributions to the field of database systems research."
N,Tyler,Spalding,N/A,TylerSpalding.jpg,N,"Co-Founder, Flexa","Tyler Spalding is a Co-Founder at Flexa, a blockchain payments company in New York City. He has a long history of working with cryptocurrencies and has been involved in mining and coding since 2011. Prior to his work at Flexa, he was the Chief Technology Officer at Raise, the world's largest gift card marketplace with over $1B in sales and $150M in venture funding. He has more than 20 years of technology experience and has founded and sold three software companies. Additionally, he is an active seed-stage investor in over 25 startups."
N,Vassilis,Papakonstantinou,N/A,VassilisPapakonstantinou.jpeg,N,"Vice Chairman, MITEF Greece, Founder of Mobiltron","Vassilis Papakonstantinou is a technology entrepreneur with solid engineering and business background. He is the co-founder of Mobiltron, a technology startup developing a passive authentication platform using machine learning and behavioral biometrics. He is a partner at Blue Dome Capital, an investment manager seeking to capture emerging investment opportunities in technology transfer and innovation-driven ventures in Central & South-Eastern Europe. He sits on the Boards of Directors of various deep technology companies. He is a co-founder of the MIT Enterprise Forum Greece and the Boston-based Hellenic Innovation Network. He holds degrees in Mechanical Engineering from the National Technical University of Athens and Ocean Systems Management from the Massachusetts Institute of Technology. He lives in Greece with his family and enjoys running and windsurfing."
N,William,Sonneborn,N/A,WilliamSonneborn.jpg,N,Global Director at the International Finance Corporation (IFC),"William Sonneborn is a highly experienced finance executive and currently serves as Senior Director at the International Finance Corporation. He was formerly the president of EIG and a partner at Kohlberg Kravis Roberts & Co., where he served as the CEO of KKR Asset Management and KKR Financial Corporation. Sonneborn has also worked at The TCW Group, Inc. and Goldman Sachs & Co. He is involved with several non-profit organizations, serving as a director or trustee of the Georgetown University McDonough School of Business, Lucile Packard Foundation for Children’s Health at Stanford University, and the San Francisco Zoo. Sonneborn graduated with honors from Georgetown University."
